CODE,NAME,MALE_POPULATION,FEMALE_POPULATION,TOTAL_POPULATION
1100,ACEH,2243578,2242992,4486570
1101,SIMEULUE,41245,39034,80279
1101010,TEUPAH SELATAN,4298,4117,8415
1101020,SIMEULUE TIMUR,14967,13960,28927
1101021,TEUPAH BARAT,3614,3406,7020
1101030,SIMEULUE TENGAH,4580,4425,9005
1101031,TELUK DALAM,2559,2347,4906
1101040,SALANG,3903,3710,7613
1101050,SIMEULUE BARAT,5118,4984,10102
1101051,ALAFAN,2206,2085,4291
1102,ACEH SINGKIL,51638,50575,102213
1102010,PULAU BANYAK,3391,3165,6556
1102020,SINGKIL,7995,8235,16230
1102021,SINGKIL UTARA,4581,4344,8925
1102022,KUALA BARU,1076,1102,2178
1102030,SIMPANG KANAN,6313,6384,12697
1102031,GUNUNG MERIAH,15324,15038,30362
1102032,DANAU PARIS,3510,3146,6656
1102033,SURO,3847,3720,7567
1102042,SINGKOHOR,2780,2564,5344
1102043,KOTA BAHARU,2821,2877,5698
1103,ACEH SELATAN ,99616,102387,202003
1103010,TRUMON,2756,2639,5395
1103011,TRUMON TIMUR,5231,5120,10351
1103020,BAKONGAN,5374,5525,10899
1103021,BAKONGAN TIMUR,2613,2597,5210
1103030,KLUET SELATAN,6073,6346,12419
1103031,KLUET TIMUR,4234,4331,8565
1103040,KLUET UTARA,10864,11234,22098
1103041,PASIE RAJA,7827,7725,15552
1103042,KLUET TENGAH,3062,3058,6120
1103050,TAPAK TUAN,10848,11615,22463
1103060,SAMA DUA,6986,7435,14421
1103070,SAWANG,6805,6857,13662
1103080,MEUKEK,8912,9235,18147
1103090,LABUHAN HAJI,5724,6139,11863
1103091,LABUHAN HAJI TIMUR,4575,4791,9366
1103092,LABUHAN HAJI BARAT,7732,7740,15472
1104,ACEH TENGGARA,89305,89547,178852
1104010,LAWE ALAS,6495,6533,13028
1104011,BABUL RAHMAD,3683,3743,7426
1104012,TANOH ALAS,1827,1743,3570
1104020,LAWE SIGALA-GALA,8614,8826,17440
1104021,BABUL MAKMUR,6140,6364,12504
1104022,SEMADAM,5271,5378,10649
1104023,LAUSER,2526,2318,4844
1104030,BAMBEL,7510,7624,15134
1104031,BUKIT TUSAM,4565,4660,9225
1104032,LAWE SUMUR,3275,3411,6686
1104040,BABUSSALAM,12476,12616,25092
1104041,LAWE BULAN,6731,6687,13418
1104050,BADAR,6133,5979,12112
1104051,DARUL HASANAH,5829,5600,11429
1104052,KETAMBE,4733,4525,9258
1104053,DELENG POKHKISEN,3497,3540,7037
1105,ACEH TIMUR,179682,179598,359280
1105080,SERBA JADI,2825,2880,5705
1105081,SIMPANG JERNIH,1579,1532,3111
1105082,PEUNARON,4265,3979,8244
1105090,BIREM BAYEUN,12961,12181,25142
1105100,RANTAU SELAMAT,5634,5435,11069
1105101,SUNGAI RAYA,5494,5211,10705
1105110,PEUREULAK,19734,19800,39534
1105111,PEUREULAK TIMUR,6285,6306,12591
1105112,PEUREULAK BARAT,6785,7008,13793
1105120,RANTO PEUREULAK,11086,10824,21910
1105130,IDI RAYEUK,16582,16523,33105
1105131,PEUDAWA ,5147,5026,10173
1105132,BANDA ALAM,3649,3641,7290
1105133,IDI TUNONG,4345,4391,8736
1105134,DARUL IHSAN,2732,2688,5420
1105135,IDI TIMUR,2522,2623,5145
1105140,DARUL AMAN,8651,8887,17538
1105150,NURUSSALAM,7526,7757,15283
1105151,DARUL FALAH,1429,1469,2898
1105160,JULOK,11745,12025,23770
1105161,INDRA MAKMUR,8002,7610,15612
1105170,PANTE BIDARI,10513,10765,21278
1105180,SIMPANG ULIM,8933,9120,18053
1105181,MADAT,11258,11917,23175
1106,ACEH TENGAH,88812,86517,175329
1106010,LINGE,4435,4260,8695
1106011,ATU LINTANG,2999,2816,5815
1106012,JAGONG JEGET,4571,4281,8852
1106020,BINTANG,4371,4212,8583
1106031,LUT TAWAR,8942,8965,17907
1106032,KEBAYAKAN,6963,7081,14044
1106040,PEGASING,9023,8567,17590
1106041,BIES,3147,3262,6409
1106050,BEBESEN,17033,17149,34182
1106051,KUTE PANANG,3542,3247,6789
1106060,SILIH NARA,10332,10154,20486
1106061,KETOL,5852,5497,11349
1106062,CELALA,4290,4078,8368
1106063,RUSIP ANTARA,3312,2948,6260
1107,ACEH BARAT,87682,85214,172896
1107050,JOHAN PAHLAWAN,28527,27696,56223
1107060,SAMATIGA,6742,6586,13328
1107061,BUBON,3248,3266,6514
1107062,ARONGAN LAMBALEK,5455,5114,10569
1107070,WOYLA,5937,5926,11863
1107071,WOYLA BARAT,3483,3372,6855
1107072,WOYLA TIMUR,2073,2070,4143
1107080,KAWAY XVI,9360,8992,18352
1107081,MEUREUBO,13478,12861,26339
1107082,PANTAI CEUREMEN,4823,4853,9676
1107083,PANTON REU,2835,2778,5613
1107090,SUNGAI MAS,1721,1700,3421
1108,ACEH BESAR,179495,170730,350225
1108010,LHOONG,4914,4183,9097
1108020,LHONGA,7797,7091,14888
1108021,LEUPUNG,1338,1215,2553
1108030,INDRAPURI ,9952,9711,19663
1108031,KUTA COT GLIE,6182,6135,12317
1108040,SEULIMEUM,11282,10356,21638
1108041,KOTA JANTHO,4340,3907,8247
1108042,LEMBAH SEULAWAH,5386,5012,10398
1108050,MESJID RAYA,10703,10060,20763
1108060,DARUSSALAM,11087,11679,22766
1108061,BAITUSSALAM,9126,7413,16539
1108070,KUTA BARO,11834,11701,23535
1108080,MONTASIK,8982,8790,17772
1108081,BLANG BINTANG,5486,5237,10723
1108090,INGIN JAYA,13942,13692,27634
1108091,KRUENG BARONA JAYA,7387,6512,13899
1108100,SUKA MAKMUR,6932,6942,13874
1108101,KUTA MALAKA,3010,2948,5958
1108102,SIMPANG TIGA,3036,2695,5731
1108110,DARUL IMARAH,23265,23114,46379
1108111,DARUL KAMAL,3440,3294,6734
1108120,PEUKAN BADA,8033,7206,15239
1108130,PULO ACEH,2041,1837,3878
1109,PIDIE,183675,194603,378278
1109010,GEUMPANG,3135,2878,6013
1109011,MANE,3799,3883,7682
1109070,GLUMPANG TIGA,7900,8603,16503
1109071,GLUMPANG BARO,4447,5104,9551
1109080,MUTIARA,8866,9551,18417
1109081,MUTIARA TIMUR,14729,16030,30759
1109090,TIROTRUSEB,3430,3668,7098
1109100,TANGSE,11561,11948,23509
1109111,KEUMALA,4296,4537,8833
1109112,TITEUE,3056,3038,6094
1109120,SAKTI,9124,9643,18767
1109130,MILA,3817,4269,8086
1109140,PADANG TIJI,9706,9995,19701
1109150,DELIMA,8888,9744,18632
1109151,GRONG GRONG,2983,3222,6205
1109160,INDRAJAYA,9851,10842,20693
1109170,PEUKAN BARO,8738,9513,18251
1109180,KEMBANG TANJONG,9370,9889,19259
1109190,SIMPANG TIGA,9770,10536,20306
1109200,KOTA SIGLI,9230,9424,18654
1109210,PIDIE,19439,20462,39901
1109220,BATEE,8871,9098,17969
1109230,MUARA TIGA,8669,8726,17395
1110,BIREUEN,191006,198018,389024
1110010,SAMALANGA ,13962,13613,27575
1110011,SIMPANG MAMPLAM,11950,12145,24095
1110020,PANDRAH,3729,3941,7670
1110030,JEUNIEB,10906,11357,22263
1110031,PEULIMBANG,4955,5283,10238
1110040,PEUDADA,11781,12243,24024
1110050,JULI,14279,14495,28774
1110060,JEUMPA,16149,16097,32246
1110061,KOTA JUANG,22233,22081,44314
1110062,KUALA,7763,8403,16166
1110070,JANGKA,12449,13235,25684
1110080,PEUSANGAN,23181,24537,47718
1110081,PEUSANGAN SELATAN,6334,6734,13068
1110082,PEUSANGAN SIBLAH KRUENG,5045,5381,10426
1110090,MAKMUR,6586,7063,13649
1110100,GANDA PURA,9978,10967,20945
1110101,KUTA BLANG,9726,10443,20169
1111,ACEH UTARA,262101,267645,529746
1111010,SAWANG,16338,17138,33476
1111020,NISAM,8497,8657,17154
1111021,NISAM ANTARA,5995,6064,12059
1111022,BANDA BARO,3524,3842,7366
1111030,KUTA MAKMUR,10784,11145,21929
1111031,SIMPANG KERAMAT,4420,4308,8728
1111040,SYAMTALIRA BAYU,9447,9504,18951
1111041,GEUREUDONG PASE,2239,2200,4439
1111050,MEURAH MULIA,8515,9061,17576
1111060,MATANGKULI,8140,8355,16495
1111061,PAYA BAKONG,6430,6444,12874
1111062,PIRAK TIMU,3627,3788,7415
1111070,COT GIREK,9121,9173,18294
1111080,TANAH JAMBO AYE,19281,19744,39025
1111081,LANGKAHAN,10661,10369,21030
1111090,SEUNUDON,11659,12012,23671
1111100,BAKTIYA,15920,16529,32449
1111101,BAKTIYA BARAT,8422,8517,16939
1111110,LHOKSUKON,21796,22106,43902
1111120,TANAH LUAS,10957,11067,22024
1111121,NIBONG,4425,4641,9066
1111130,SAMUDERA,12096,12281,24377
1111140,SYAMTALIRA ARON,8088,8339,16427
1111150,TANAH PASIR,4047,4348,8395
1111151,LAPANG,3913,3999,7912
1111160,MUARA BATU,12032,12332,24364
1111170,DEWANTARA,21727,21682,43409
1112,ACEH BARAT DAYA,62633,63358,125991
1112010,MANGGENG ,6298,6482,12780
1112011,LEMBAH SABIL,4704,4901,9605
1112020,TANGAN-TANGAN,5626,5879,11505
1112021,SETIA,3792,3673,7465
1112030,BLANG PIDIE,9969,10097,20066
1112031,JEUMPA,4700,4781,9481
1112040,SUSOH,10408,10526,20934
1112050,KUALA BATEE,8823,8961,17784
1112060,BABAH ROT,8313,8058,16371
1113,GAYO LUWES,39468,40124,79592
1113010,KUTA PANJANG,3621,3712,7333
1113011,BLANG JERANGO,3116,3352,6468
1113020,BLANGKEJEREN,12113,12315,24428
1113021,PUTRI BETUNG,3385,3218,6603
1113022,DABUN GELANG,2577,2680,5257
1113023,BLANG PEGAYON,2541,2548,5089
1113030,PINING,2152,2148,4300
1113040,RIKIT GAIB,1811,1947,3758
1113041,PANTAN CUACA,1775,1704,3479
1113050,TERANGUN,3924,4023,7947
1113051,TRIPE JAYA,2453,2477,4930
1114,ACEH TAMIANG,126724,124268,250992
1114010,TAMIANG HULU,8818,8518,17336
1114011,BANDAR PUSAKA,5907,5696,11603
1114020,KEJURUAN MUDA,16045,15697,31742
1114021,TENGGULUN,8445,7864,16309
1114030,RANTAU,16429,16313,32742
1114040,KOTA KUALA SIMPANG,9036,8940,17976
1114050,SEURUWAY,11792,11865,23657
1114060,BENDAHARA,9398,9313,18711
1114061,BANDA MULIA,5412,5235,10647
1114070,KARANG BARU,18140,17925,36065
1114071,SEKERAK,2932,2853,5785
1114080,MANYAK PAYED,14370,14049,28419
1115,NAGAN RAYA,70039,68631,138670
1115010,DARUL MAKMUR,23529,22673,46202
1115020,KUALA,9527,9079,18606
1115021,KUALA PESISIR,7191,6891,14082
1115022,TADU RAYA,5713,5410,11123
1115030,BEUTONG,7068,7038,14106
1115040,SEUNAGAN,7080,7311,14391
1115041,SUKA MAKMUE,4020,3999,8019
1115050,SEUNAGAN TIMUR,5911,6230,12141
1116,ACEH JAYA,39973,36919,76892
1116010,TEUNOM,8659,8481,17140
1116020,PANGA,3293,3266,6559
1116030,KRUENG SABEE ,7638,6715,14353
