0,1,2,3,4,n_cells_with_newline
1102,ACEH SINGKIL,51 638,"50 575
",102 213,1
1102031,GUNUNG MERIAH,"15 324
 ",15 038,30 362,1
1102033,"SURO
",3 847,3 720,7 567,1
1103,"ACEH SELATAN
 ",99 616,102 387,202 003,1
1105,ACEH TIMUR,179 682,"179 598
",359 280,1
1105110,PEUREULAK,"19 734
 ",19 800,39 534,1
1105112,"PEUREULAK BARAT
",6 785,7 008,13 793,1
1105131,"PEUDAWA
 ",5 147,5 026,10 173,1
1107070,WOYLA,5 937,"5 926
",11 863,1
1107090,SUNGAI MAS,"1 721
 ",1 700,3 421,1
1108,"ACEH BESAR
",179 495,170 730,350 225,1
1108030,"INDRAPURI
 ",9 952,9 711,19 663,1
1109150,DELIMA,8 888,"9 744
",18 632,1
1109200,KOTA SIGLI,"9 230
 ",9 424,18 654,1
1109220,"BATEE
",8 871,9 098,17 969,1
1110010,"SAMALANGA
 ",13 962,13 613,27 575,1
1111101,BAKTIYA BARAT,8 422,"8 517
",16 939,1
1111150,TANAH PASIR,"4 047
 ",4 348,8 395,1
1111160,"MUARA BATU
",12 032,12 332,24 364,1
1112010,"MANGGENG
 ",6 298,6 482,12 780,1
1115,NAGAN RAYA,70 039,"68 631
",138 670,1
1115041,SUKA MAKMUE,"4 020
 ",3 999,8 019,1
1116,"ACEH JAYA
",39 973,36 919,76 892,1
1116030,"KRUENG SABEE
 ",7 638,6 715,14 353,1
1172010,SUKAJAYA,7 927,"7 605
",15 532,1
1173021,LANGSA BARO,"20 828
 ",20 974,41 802,1
1174,"KOTA LHOKSEUMAWE
",84 893,85 611,170 504,1
1174021,"MUARA SATU
 ",15 527,15 687,31 214,1
1201132,BOTOMUZOI,4 360,"4 726
",9 086,1
1202022,RANTO BAEK,"5 633
 ",5 517,11 150,1
1202031,"ULU PUNGKUT
",2 097,2 146,4 243,1
1202040,"MUARA SIPONGI
 ",4 835,4 834,9 669,1
1204031,TUKKA,5 675,"5 721
",11 396,1
1204062,PASARIBU TOBING,"3 229
 ",3 238,6 467,1
1204071,"SOSOR GADONG
",6 226,6 243,12 469,1
1204080,"MANDUAMAS
 ",9 674,9 510,19 184,1
1206081,ULUAN,3 485,"3 495
",6 980,1
1207080,BILAH BARAT,"17 131
 ",16 607,33 738,1
1207140,"PANAI HULU
",16 867,16 392,33 259,1
1207210,"RANTAU SELATAN
 ",29 030,28 580,57 610,1
1209030,DOLOK PARDAMEAN,7 858,"7 686
",15 544,1
1209080,JORLANG HATARAN,"7 486
 ",7 707,15 193,1
1209091,"PANOMBEAN PANEI
",9 596,9 437,19 033,1
1209120,"SILAU KAHEAN
 ",8 440,8 625,17 065,1
